# index, meta, _pos
2848,johnny,"array([-64.07561725,  49.87994421])"
2849,NukeGeek,"array([-65.03378868,  51.34967569])"
2850,juhtolv,"array([-27.18388357,  33.03360615])"
2851,tjl,"array([-18.70625619,  53.64891041])"
2852,opk,"array([-7.29107743, 23.02987414])"
2853,gcw,"array([ 3.48704714, 16.76151639])"
2854,cras,"array([-47.83480038,  13.34039416])"
2855,dreamind,"array([-23.89024486,  10.22018074])"
2856,gluscap,"array([144.84952497, 332.6881882 ])"
2857,8bit,"array([-41.68763617,  46.5574521 ])"
2858,image,"array([-29.02866523,  58.12438187])"
2859,mvo,"array([-23.39043067,  47.35154766])"
2860,Rich,"array([-39.43654467,  41.69762577])"
2861,spadkins,"array([-36.10554161,  73.58372484])"
2862,bcm,"array([-38.95001867,  74.36265343])"
2863,jpl,"array([-60.25212413,  56.13431541])"
2864,aeden,"array([-45.17925886,  46.79467456])"
2865,atech,"array([-63.32999912,  58.3062073 ])"
2866,premus,"array([-55.32245544,  53.15197995])"
2867,Borzy,"array([-72.94108753,  67.61051034])"
2868,nemo,"array([-81.71705301,  77.43479399])"
2869,Dzifa,"array([28.65296051, 40.71388887])"
2870,Scizo,"array([18.73509225, 68.12876352])"
2871,lux,"array([-7.79958519, 53.02429177])"
2872,enienigma,"array([-334.84243993, -105.40258442])"
2873,ziggy,"array([-35.81272274,  63.26005939])"
2874,joedecker,"array([ 5.86839183, 39.49111964])"
2875,scottyo,"array([-19.99346553,  45.97696169])"
2876,cipher,"array([-12.50249244,  40.24082361])"
2877,iGN,"array([-6.24004537, 47.78731324])"
2878,duncan,"array([-29.13844672,  42.30313486])"
2879,jerdfelt,"array([-14.21998107,  41.01129941])"
2880,pergj,"array([-12.60495729,  23.52624133])"
2881,Nome,"array([-7.22753185, 34.3708432 ])"
2882,jonkare,"array([-22.58749401,  32.39106341])"
2883,tca,"array([-7.10718132, 40.16432465])"
2884,jct,"array([-2.86851523, 41.80939245])"
2885,dreier,"array([-12.28958883,  50.60959095])"
2886,pere,"array([-23.23596056,  21.63525433])"
2887,bitstream,"array([-16.44852703,   3.02989884])"
2888,collord,"array([-37.86568868, 100.67003392])"
2889,fjf,"array([-38.02459088,   9.43419576])"
2890,bigdisk,"array([-13.4935947 ,  51.15056845])"
2891,ffxz,"array([-64.59970094,  -0.78302817])"
2892,NZheretic,"array([ 34.5990338 , 398.22412796])"
2893,pghowlett,"array([-30.80786573,  63.48745172])"
2894,ZachGarner,"array([-33.93134136,  68.27983141])"
2895,agh,"array([-288.53231348, -282.01481056])"
2896,mico,"array([-10.75123595,  83.41887943])"
2897,fscked,"array([-40.1372498 ,   6.90375393])"
2898,zahod,"array([-77.5470012 ,  15.67710601])"
2899,panthar,"array([-64.82099998,  37.56456409])"
2900,Zezinho,"array([-56.30450318, 339.45880586])"
2901,jgb,"array([-20.19764098,  10.93429252])"
2902,gerardo,"array([-13.74447548,   1.38478122])"
2903,syvic,"array([-20.59478966,   9.70196981])"
2904,tanis,"array([-18.22391672,  18.77710543])"
2905,afernandes,"array([-14.70761466,  13.24743591])"
2906,mooch,"array([-32.12144495,   0.98107312])"
2907,Camille,"array([-9.30744376, -8.77931861])"
2908,Jujo,"array([-10.63355574, -10.41406008])"
2909,skymix,"array([-9.80287378,  7.94430769])"
2910,lgs,"array([-34.42919657,  13.82746155])"
2911,tacvbo,"array([-10.69119257,   9.77093987])"
2912,jemarch,"array([-31.95435919,  18.20690933])"
2913,ceri,"array([-14.03232733,  79.04721313])"
2914,operon,"array([-27.17880667,  94.48604496])"
2915,rwxrwxrwx,"array([ 50.13118482, 414.92067044])"
2916,jeremiahrogers,"array([-43.4784704 ,  59.23044368])"
2917,benji,"array([-37.78182575,  26.04299043])"
2918,jpetersen,"array([-28.68094255,   5.31578834])"
2919,Bklyn,"array([-212.939969  , -259.49061863])"
2920,janerik,"array([11.1380968 , 57.74374779])"
2921,marius,"array([-9.28287905, 49.92793885])"
2922,trackman,"array([ 1.66543846, 51.76644737])"
2923,SolidCore,"array([26.8575272 , 37.25467007])"
2924,kazen,"array([ 4.73331026, 36.38497668])"
2925,andre,"array([-25.49767717,  69.87399514])"
2926,mikeB,"array([-25.72619645,  76.07243965])"
2927,pschoenb,"array([-57.96197725,  66.73288696])"
2928,etoffi,"array([-52.65529723,  48.01634318])"
2929,cadrian,"array([-59.64811747,  44.8900445 ])"
2930,kwd,"array([-42.25511403,  66.88819916])"
2931,joearm,"array([-56.62694152,  22.49684392])"
2932,squish,"array([-42.84334219,  31.6716625 ])"
2933,groom,"array([-47.35089661,  29.17215335])"
2934,nealmcb,"array([-33.21389956,  69.60491598])"
2935,b,"array([  56.78697352, -337.61159369])"
2936,carton,"array([-81.27425428, 350.25945783])"
2937,gobry,"array([-42.60110918,  25.07390939])"
2938,habes,"array([-44.04820507,  35.86761361])"
2939,ken,"array([-52.34608082,  29.91139097])"
2940,pate,"array([-11.9751817 ,  46.11825556])"
2941,shillo,"array([-20.63057201,  49.15117397])"
2942,seph,"array([-7.64035929, 59.14263159])"
2943,yandros,"array([-16.59128812,  56.69230061])"
2944,stephane,"array([-21.72118336,  45.55768812])"
2945,Apuleius,"array([-6.04966909, 65.10045658])"
2946,Santiago,"array([-1.98805514, 31.19896528])"
2947,cwryu,"array([-37.43178263,  28.41847202])"
2948,bhyde,"array([-39.64802879,  52.32825887])"
2949,roblimo,"array([-36.78925281,  56.92651632])"
2950,aris,"array([-20.67770123,  70.48116949])"
2951,mjl,"array([-91.95245044,  11.35359287])"
2952,tapir,"array([-37.53775366,  57.81620337])"
2953,ghod,"array([-11.94355058,  64.48134892])"
2954,bmb,"array([-7.06345559, 75.33604674])"
2955,tolonuga,"array([-15.15866616,  61.76298196])"
2956,cedars,"array([107.09707438, 417.97281889])"
2957,Sanjay,"array([ 352.9344026 , -107.84967666])"
2958,paolino,"array([-212.86559853,  328.47711047])"
2959,animesh,"array([-221.0716664 ,  307.05968278])"
2960,evo,"array([-10.91761917,  34.66048118])"
2961,baux,"array([-8.3468397 , 32.33364551])"
2962,freeworld,"array([-29.60365043,  31.85651924])"
2963,watete,"array([-39.57287937,  30.8370497 ])"
2964,xsdg,"array([-25.72978432,  24.18960673])"
2965,zdt,"array([-15.37664721,  64.51572296])"
2966,erAck,"array([-32.22569417,  61.87154752])"
2967,Samoied,"array([ 216.85337092, -116.51762107])"
2968,hereticmessiah,"array([-42.16937727,  33.64623494])"
2969,returnoftheredi,"array([-46.28022758,  23.07463109])"
2970,witten,"array([-5.75824922, 51.93890402])"
2971,munizao,"array([-13.2780069 ,  26.40420592])"
2972,soni,"array([-354.22400749,   11.62654614])"
2973,xan,"array([-26.85030718,  13.62670355])"
2974,funrecords,"array([-28.18692194,  17.27582191])"
2975,jdhildeb,"array([-58.27858663,  23.66418987])"
2976,sl0th,"array([-30.06363639,  25.48528061])"
2977,aragunton26,"array([-48.3611018 ,  49.31915491])"
2978,blinker,"array([-65.88454946,  60.70839473])"
2979,princetongal,"array([155.43995564, 265.2706168 ])"
2980,juanjo,"array([-10.96018476,  23.82082515])"
2981,chunduri,"array([ 103.2968265 , -227.25122691])"
2982,zxc555,"array([-14.06781807,   9.61136489])"
2983,pvg,"array([-17.7816815 ,  52.20449552])"
2984,jwise,"array([-8.81040723, 25.62153341])"
2985,sacha,"array([-30.69197532,   8.29229481])"
2986,nicnacs,"array([-1.54787443, 13.93730761])"
2987,djmgnu,"array([-4.00976332, 32.07105193])"
2988,ana,"array([-5.49075237, 60.91074898])"
2989,ajmitch,"array([-38.00798835,  16.06057506])"
2990,gavinb,"array([7.40794207, 6.81807123])"
2991,arma,"array([-19.92739144,  55.57696896])"
2992,pjrm,"array([ 1.73106894, 20.32598736])"
2993,svanegmond,"array([-61.9604448 ,  56.83795921])"
2994,jcarr,"array([-58.74355921,  61.42180931])"
2995,dgatwood,"array([-31.39320185,  49.12563615])"
2996,creed,"array([-47.73694979,  69.98537946])"
2997,jeanpierre,"array([-45.42520317,  62.78987883])"
2998,pogma,"array([-36.12853503,  62.13414191])"
2999,sbwoodside,"array([-57.63283641,  53.07667942])"
3000,lethal,"array([-42.73726109,   7.96511457])"
3001,salimma,"array([-51.24313402,  15.26962651])"
3002,kirby,"array([-57.37997741,  21.20597747])"
3003,smurf,"array([-68.16773059,  66.43131773])"
3004,sspitzer,"array([-19.41960387,  57.01854838])"
3005,lordpixel,"array([-38.28336258,  52.33011711])"
3006,smfr,"array([-57.08789128,  61.63638986])"
3007,hwaara,"array([-27.8030696 ,  59.55095416])"
3008,brane,"array([-41.47832013,  51.86874334])"
3009,Xantus,"array([-63.9601442 ,  25.81647779])"
3010,Keith,"array([12.66343581, 28.00374993])"
3011,France,"array([-3.24229981, 11.65596058])"
3012,doa,"array([-2.7164046 , 57.05292238])"
3013,AsmodeusB,"array([-49.95542035,  67.75016601])"
3014,slothrop,"array([ 0.56829238, 35.46198636])"
3015,patrick,"array([-4.84287423, 40.44343231])"
3016,ayaz,"array([-296.85052181,  250.82342408])"
3017,nusK,"array([20.42793388, 30.54579929])"
3018,wyrm,"array([37.66659022, 28.52618284])"
3019,mchang,"array([-27.52830261,  -2.29100499])"
3020,peroyvind,"array([-197.39594357,  404.47407176])"
3021,pfignaux,"array([347.52151306,  32.70221833])"
3022,hin,"array([-54.68303316,  48.91484059])"
3023,kaspanatola,"array([349.25601312, 139.5864473 ])"
3024,Barracuda,"array([-16.9349213 ,  81.26586693])"
3025,payneinthe,"array([-46.72577016,  71.43798403])"
3026,redowl,"array([-27.4249162 ,  37.98340985])"
3027,cucumelo,"array([ 3.35512343, 41.49780535])"
3028,typezero,"array([-22.77670926,  34.68376692])"
3029,mmannix,"array([3.69491606e-02, 5.65452273e+01])"
3030,mpawlo,"array([-37.7736824 ,  39.11137156])"
3031,asleep,"array([-41.34486244,  44.03067385])"
3032,darknode,"array([-240.14096485,  243.20852544])"
3033,nigelk,"array([-15.95956284,  48.68776907])"
3034,openface,"array([-70.47288544,  80.62004707])"
3035,turing,"array([-49.89698678,  58.45757526])"
3036,reenoo,"array([-54.86384535,  11.99071726])"
3037,ara0bswft16,"array([-47.43073092,  24.84837312])"
3038,plankers,"array([ 275.81409515, -208.36201037])"
3039,phliar,"array([2.0266031 , 2.71237526])"
3040,aaronfaby,"array([326.66671175,  12.5072683 ])"
3041,Exal,"array([  29.75629769, -367.29676398])"
3042,timtilion,"array([-111.28628809, -277.813435  ])"
3043,tdowney,"array([-109.19407669, -273.83794889])"
3044,L2G,"array([-70.13507667,  86.20138606])"
3045,zenspider,"array([-82.49287437, 101.64409689])"
3046,pfgomez,"array([244.77710054, 202.78767277])"
3047,safarial,"array([-17.74246571,  22.58334879])"
3048,MCArkan,"array([-23.41969019,  25.62266584])"
3049,davidu,"array([-39.05236221,  14.22521576])"
3050,blef,"array([-18.27910272,   2.81859675])"
3051,Treenaks,"array([-1.91134181, 26.19701244])"
3052,Fluor,"array([ 0.21283874, 29.42373495])"
3053,rvdmeent,"array([ 6.27220715, 25.24525837])"
3054,Tijs,"array([ 1.66985484, 14.37545043])"
3055,carlosferry,"array([-7.49133756,  5.37225363])"
3056,jelly,"array([ 9.49373743, 43.14439396])"
3057,RaviSHankar,"array([-49.70814206,  69.99545142])"
3058,JohnAllsup,"array([-209.91910702,  315.5731271 ])"
3059,ace,"array([-27.31226731,  -7.03673594])"
3060,framirez,"array([-325.27151663,  219.20157578])"
3061,ricmm,"array([-12.24144102,   9.87817843])"
3062,jmcastagnetto,"array([-37.19665542,  62.32521104])"
3063,joeysmith,"array([-29.88561936,  59.67926462])"
3064,imajes,"array([-37.11445038,  52.76976347])"
3065,shughes,"array([-41.54605903,  55.12137595])"
3066,sniper,"array([-38.86301504,  64.79439618])"
3067,mfischer,"array([-34.75391299,  61.88911964])"
3068,phanto,"array([-39.02710901,  62.73790742])"
3069,mjansen,"array([-38.33346798,  60.80283712])"
3070,Imzadi,"array([-37.0270872 ,  66.60961454])"
3071,hellow,"array([-66.92377415,  32.11812055])"
3072,zeshin,"array([276.05478936, 165.4058566 ])"
3073,coldn,"array([276.43392597, 169.31937168])"
3074,edlang,"array([ 1.84614858, 33.32365662])"
3075,ejb,"array([-1.50226328, 41.85277817])"
3076,foka,"array([-28.00780716,  47.34766614])"
3077,edb,"array([-9.23817264, 33.12892519])"
3078,djarb,"array([340.20387562, 170.76768456])"
3079,karabasan,"array([-390.22556652, -133.1732718 ])"
3080,bje,"array([-33.98528035,  20.42610157])"
3081,Silverwind,"array([ 8.16806694, -1.59145358])"
3082,gowlin,"array([1.19372558, 6.66016201])"
3083,ddent,"array([-9.70546292, 19.32873438])"
3084,chuckd,"array([-46.8488741 ,  21.83399281])"
3085,Cantanker,"array([-42.26788225,  32.66305411])"
3086,Sarah,"array([-46.51136816,  37.55227203])"
3087,ath,"array([-52.52470457,  28.27261152])"
3088,ow3n,"array([-49.66732037,  18.51277801])"
3089,ctd,"array([-44.86645886,  24.67829242])"
3090,netzero,"array([-26.41699442,  -5.78878846])"
3091,shogsbro,"array([-21.32065963, 445.22873146])"
3092,opalmer,"array([348.83636784,  60.11173297])"
3093,kerz,"array([-26.95405648, -12.08588802])"
3094,freebot,"array([-2.40943341,  6.42906006])"
3095,spelugx,"array([-72.27294822,  47.73649126])"
3096,bsmith,"array([-70.46294892,  50.88933856])"
3097,kmself,"array([-14.36516554,  49.02096104])"
3098,bwoodard,"array([-7.06103841, 51.9199425 ])"
3099,emad,"array([-16.50880329,  62.19957148])"
3100,dtype,"array([-21.76388339,  47.83916745])"
3101,ElCoronel,"array([-11.04051181,  39.44303673])"
3102,jdc,"array([ 8.30485232, 45.31533138])"
3103,tack,"array([-14.09647158,   8.07882863])"
3104,algaba,"array([-17.24359468,  73.50756747])"
3105,LukeyBoy,"array([-18.71866736,  50.39390578])"
3106,christo,"array([-48.2701484 ,  -0.53235065])"
3107,armbothism,"array([-41.43647426,  10.38308182])"
3108,oliverchan,"array([16.77790166, 25.44401816])"
3109,PhreeZe,"array([ 245.9239396 , -172.93214855])"
3110,stevebaker,"array([-40.03074966,  19.15192427])"
3111,subpop,"array([ 7.19864695, 20.8614205 ])"
3112,Gavincheng,"array([ 177.99248496, -202.51478477])"
3113,HPCThunder,"array([ 1.78498059, 30.55366031])"
3114,rmt,"array([-12.61078009,  37.43469752])"
3115,alfie,"array([-31.37576615,  32.11895361])"
3116,xtifr,"array([-17.0358639 ,  37.69557252])"
3117,Demonishi,"array([-19.63955149,  30.78369163])"
3118,aldrin,"array([-6.76931025, -7.47891614])"
3119,pap,"array([-28.15029959,  57.1219088 ])"
3120,hiller,"array([-23.30030947,  44.35664862])"
3121,sparky,"array([ 5.13267687, 44.26822533])"
3122,Mala,"array([-56.50067423,  33.25076717])"
3123,bluefoxicy,"array([-53.78844831,  16.20146518])"
3124,elduderino,"array([-59.11413644,  38.57416175])"
3125,fgsch,"array([-46.45363838,  40.40945323])"
3126,pmbas,"array([-47.90991746,  34.08921355])"
3127,benad,"array([-61.75459061,  24.71073404])"
3128,gp,"array([-28.74559017,  32.435606  ])"
3129,forman,"array([269.77611322,  82.68490773])"
3130,bmetzler,"array([-5.38131275, 63.5475453 ])"
3131,hurstdog,"array([-8.30093273, 61.77162375])"
3132,dword,"array([-3.69538746, -3.37144783])"
3133,aralicio,"array([-356.59345121,  -96.92035253])"
3134,EricSandeen,"array([-18.55887152,  25.5501492 ])"
3135,reschke,"array([-6.9983912 , 61.21777397])"
3136,mkc,"array([-14.54442822,  47.325874  ])"
3137,dug,"array([  68.01712499, -317.2819137 ])"
3138,hallvar,"array([-4.25303813, 35.45345117])"
3139,term,"array([-10.65999703,  27.90420188])"
3140,HomeySmurf,"array([297.45174797, -94.27432296])"
3141,kolbi,"array([345.39667512, -80.83404417])"
3142,jrtorres,"array([-210.31566269, -287.27183834])"
3143,rileywhite,"array([30.08983245, 26.29027368])"
3144,DanSmith,"array([10.50447858, 30.75424509])"
3145,cynick,"array([-19.61704124,  65.2471615 ])"
3146,karld,"array([-53.28016889,  56.45469083])"
3147,dbryson,"array([-15.4073199,  56.8135807])"
3148,xandi,"array([-10.48981029,  45.77217135])"
3149,rohitmalhotra,"array([ 166.26523167, -251.2693325 ])"
3150,metaman,"array([-22.02460629,  77.23649923])"
3151,edw,"array([-25.24754171,  64.98007354])"
3152,rcyeske,"array([-14.83603993,  62.95808777])"
3153,Orc,"array([-10.32455977,  78.40263916])"
3154,prodigy,"array([-354.68900117, -122.52227892])"
3155,richard,"array([-162.97897376, -280.14876893])"
3156,himitsuheiki,"array([-86.26480584,  16.33739197])"
3157,LdyDestin,"array([-190.64177298,  282.87631253])"
3158,hmacht,"array([-256.04096632,  318.69629967])"
3159,thoenig,"array([-254.13181384,  315.25782461])"
3160,dkukawka,"array([-252.11194885,  318.62874621])"
3161,eivindj,"array([-5.78411289, 44.82316131])"
3162,Periflage,"array([-365.99180135,   63.19652872])"
3163,Henry,"array([-14.55792194,  70.84914717])"
3164,jbuennagel,"array([255.53130812, 146.08354597])"
3165,Kipper989,"array([-204.11063032,  272.94445844])"
3166,djradon,"array([ -49.62590777, -273.0847638 ])"
3167,redcap,"array([ 7.65620167, 23.61668485])"
3168,netstar,"array([12.04966505, 45.70324477])"
3169,dexter,"array([-2.60030478, 43.2999314 ])"
3170,vladimir,"array([-13.41780126,  34.84766453])"
3171,needo,"array([ 1.55535434, 47.13645851])"
3172,rawb,"array([-5.53146721, 57.17257791])"
3173,raptor,"array([-45.38866383,  40.01177834])"
3174,strath,"array([-18.99375951,   6.2328279 ])"
3175,bdodson,"array([-54.68975809,  37.3008294 ])"
3176,CEmery,"array([-23.58846593,  11.62759898])"
3177,gabe,"array([-22.48246845,  50.38789246])"
3178,maw,"array([ 5.74080254, 17.80516316])"
3179,kz,"array([-45.68256606,  32.11580073])"
3180,jlouis,"array([-51.22308465,  38.30122496])"
3181,Aurel42,"array([ 4.06792429, 53.22614917])"
3182,beaneater,"array([ 254.2033479 , -138.29998296])"
3183,rmorgan,"array([-6.06489751, 36.17222101])"
3184,lfilipoz,"array([-0.34463092, 34.57709839])"
3185,storm,"array([-12.56263138,  29.2851677 ])"
3186,benson,"array([-11.35984999,  43.15403367])"
3187,Gnrfan,"array([-9.5174122 , 29.51308001])"
3188,beldon,"array([-19.0154328 ,  66.51457234])"
3189,mbaker,"array([-0.22691323, 36.43142185])"
3190,karlheg,"array([-11.28009207,  38.60486764])"
3191,thoric,"array([-4.71428463, 34.07112737])"
3192,theller,"array([ 134.9417201 , -228.74446641])"
3193,beland,"array([-44.46687777,  76.870222  ])"
3194,Netalix,"array([-222.69466296, -294.02966082])"
3195,russell,"array([-36.10132818,   1.51462714])"
3196,tholo,"array([-53.95352976,  50.93709767])"
3197,arjan,"array([ 0.10820724, -3.64013816])"
3198,oddiofile,"array([-324.97457627,   21.87723954])"
3199,Hobart,"array([-24.08536908, -10.16944333])"
3200,a3n,"array([-63.8003829 ,  63.53979895])"
3201,ModernRonin,"array([-73.61745892,  49.08746683])"
3202,sterling,"array([-40.52234942,  71.25114923])"
3203,kaeru,"array([-52.98181973,  41.13581075])"
3204,larsrc,"array([-41.06589711,  17.53122361])"
3205,pelaja,"array([-0.36346247, 84.4879876 ])"
3206,krokodil,"array([-54.70819942,  36.15682779])"
3207,coriordan,"array([-35.93029978,  14.01739692])"
3208,jsogo,"array([-16.82724582,  22.83062275])"
3209,erconde,"array([-11.46497413,   8.48665777])"
3210,era,"array([-24.42540581,  17.9636207 ])"
3211,pixelbeat,"array([-15.68821932,  45.74111881])"
3212,tlewis,"array([-347.40094326,  251.17491041])"
3213,notjames,"array([-371.75806621,  103.8885052 ])"
3214,thallgren,"array([-11.24075773,  58.62245976])"
3215,nib,"array([-21.01904857,  58.02198832])"
3216,LSchiere,"array([-43.9463143 ,  15.72087123])"
3217,meijerink,"array([  79.94107231, -355.85058495])"
3218,mjbrown,"array([-68.8750873,  44.2065119])"
3219,mock,"array([276.40118665, -56.40532181])"
3220,fagrspf,"array([-11.85995227,  21.91328206])"
3221,supanee,"array([-13.69998732,  17.70966186])"
3222,leo,"array([-8.55339651, 14.11668743])"
3223,jamey,"array([-0.63560238,  6.02370463])"
3224,webgurru,"array([-34.375707  , -10.23810114])"
3225,phpgurru,"array([-33.18906198, -17.33780989])"
3226,masood,"array([-33.84352449,  14.43426204])"
3227,dbenbenn,"array([-34.17078747,  -2.2861714 ])"
3228,happybob,"array([ 4.79551397, 41.66032668])"
3229,JohnP,"array([-3.07194145, 33.47719234])"
3230,Micksa,"array([17.56018335, 41.00567165])"
3231,vipw,"array([-3.94283241, 48.21584991])"
3232,manero,"array([ 7.74862792, 42.19922056])"
3233,alexh,"array([-7.07933732, 17.69608416])"
3234,kagedal,"array([ 4.3503649 , 38.67850572])"
3235,brlewis,"array([-43.42921257,  48.32461335])"
3236,mole,"array([-202.71457252,  376.79173054])"
3237,rodarvus,"array([-15.81778505,  17.88391424])"
3238,XFire,"array([-28.42373355,  38.98873801])"
3239,thindil,"array([-5.72890401, 30.36329727])"
3240,creinig,"array([-19.15555748,   7.65571355])"
3241,ha,"array([23.11502441, 20.89836847])"
3242,okaratas,"array([-33.34870415,  29.04078765])"
3243,markush,"array([143.43827867, 308.56527722])"
3244,doviende,"array([-6.73488763, 37.35485544])"
3245,bobuk,"array([-32.16532077, -15.19212973])"
3246,sentinel,"array([ 0.68536058, 16.24698395])"
3247,mjt,"array([-9.27603227, 52.5097487 ])"
3248,kodefu,"array([-52.47377496,  61.1886285 ])"
3249,ajaxx,"array([-50.24937745,  48.23804082])"
3250,gwachob,"array([-50.2895299 ,  59.70684932])"
3251,LADYROME2002,"array([ 232.80877779, -166.76556795])"
3252,tapanjyotib,"array([-68.85086005,   7.55292688])"
3253,chriscog,"array([-75.90311446,   9.68574577])"
3254,jenni,"array([-48.26481899,  52.34549033])"
3255,glasseyes,"array([-36.32808893,  17.68039872])"
3256,MAK,"array([-56.48117099,  20.0014514 ])"
3257,pesco,"array([-45.71023214,  22.3008552 ])"
3258,RpgFan,"array([-55.75471506,  -0.13753954])"
3259,jht001,"array([ 271.10957039, -242.37605198])"
3260,ghaz,"array([11.56189606, 37.773707  ])"
3261,mixter,"array([-14.58736566,  73.01815797])"
3262,benjim,"array([ 207.64690585, -169.50752777])"
3263,andrewes,"array([ 0.60167532, 30.9452515 ])"
3264,kesor,"array([-0.59490288, 40.52971469])"
3265,yizhe,"array([-72.63065229,  59.46616885])"
3266,sphair,"array([-57.70996738,  47.79868975])"
3267,yoann,"array([-14.7199241 ,  22.72948906])"
3268,walker,"array([281.01763598, 300.77475542])"
3269,qslack,"array([-1.43286962, 56.72467302])"
3270,Justinfinity,"array([22.54818333, 71.21122937])"
3271,livewire,"array([ 0.82600575, 67.09006725])"
3272,QuoteMstr,"array([4.48853031e-02, 6.87083316e+01])"
3273,tladuca,"array([-19.08487044,  54.61975641])"
3274,link,"array([-20.35282109,  50.83806818])"
3275,alastair,"array([11.1226312 , 47.39778697])"
3276,rash,"array([-303.92326963, -178.25125875])"
3277,cduhn,"array([292.40253783, -31.38008401])"
3278,n9mtb,"array([-4.00590007, 56.60290126])"
3279,nelsonminar,"array([-29.09756964,  63.12318103])"
3280,NickK,"array([-50.42964119,  20.52951866])"
3281,abo,"array([-49.45573084,  53.56734853])"
3282,Erik,"array([-56.19540299,  66.33765489])"
3283,rsc,"array([-77.33304473,  23.31325371])"
3284,SuperBinky,"array([ -75.66410789, -283.27085207])"
3285,wrffr,"array([-26.41953871,  60.83084709])"
3286,dolphy,"array([-38.28169994,  24.25549893])"
3287,cguenther,"array([-32.46596618,  -5.12932725])"
3288,shkoo,"array([ 6.59319025, -5.18343928])"
3289,epic,"array([-15.8656221 ,  28.46109379])"
3290,baptista,"array([-14.8316537 ,  14.42432132])"
3291,netrap,"array([-12.25822275,  17.40680109])"
3292,wkearney99,"array([-328.53045717,  -91.18901872])"
3293,step,"array([ -8.00078169, 352.87278097])"
3294,rcassin,"array([-10.31931259,  54.37920121])"
3295,tef,"array([-42.51470413,  35.13082041])"
3296,gorlitsky,"array([-74.77163435,  17.53596077])"
3297,jalvarez,"array([-330.18371162,  233.55199465])"
3298,scorp2,"array([-144.33101029, -305.32431562])"
3299,sorokano,"array([ 223.17487451, -188.1394478 ])"
3300,anabanana19,"array([316.18340928, 214.78124344])"
3301,wishan,"array([10.05867835, 68.79101782])"
3302,snim2,"array([-44.13572043,  21.06185763])"
3303,sweeks,"array([-84.8279312 ,  45.92027537])"
3304,kahuna,"array([-319.11717197,  134.58475193])"
3305,dannys42,"array([ 2.67140114, 49.7643972 ])"
3306,snotty,"array([-0.56363601, 54.47881271])"
3307,dap24,"array([ 6.45951377, 50.94948668])"
3308,Ant,"array([15.04356311, 52.22724614])"
3309,andycu,"array([ 178.98697354, -168.85996872])"
3310,cgillot,"array([-51.05929561,  43.5504127 ])"
3311,fog,"array([-4.97681044, 36.34509227])"
3312,varjag,"array([-44.50543138,  54.855527  ])"
3313,msi,"array([208.32974646, 275.80958389])"
3314,andrewmuck,"array([-29.67432801,  45.88814208])"
3315,leonbrooks,"array([-4.93610985, 59.41304475])"
3316,DavidEmrich,"array([-10.54276617,  63.40721228])"
3317,grant,"array([-35.55591467,  43.10969321])"
3318,kyrka,"array([ 0.81869404, 75.26321714])"
3319,mathsfan,"array([-61.06757403,  11.96302431])"
3320,krivilli,"array([-1.95147479,  9.4497411 ])"
3321,Yashy,"array([-19.18782101,  55.83220707])"
3322,tgall,"array([-43.64245959,  34.88126186])"
3323,Builder,"array([ 8.42068709, 22.13672274])"
3324,entropy,"array([-10.91494991,  50.41302302])"
3325,karmyshev,"array([10.04294278, 28.06478821])"
3326,jas,"array([-33.5150034 ,  38.35698506])"
3327,jboy55,"array([15.94684765, 63.65970941])"
3328,clock,"array([ 5.99846949, 61.92626256])"
3329,Form,"array([-51.7140302 , 110.39892641])"
3330,capo,"array([15.31721954, 20.55736013])"
3331,anuradha,"array([358.51864834, -34.71596254])"
3332,jose,"array([-92.86028989,  34.71653441])"
3333,delta,"array([-21.82521054,  69.38331758])"
3334,tmartin,"array([-8.31057425, 49.50758511])"
3335,jrennie,"array([-21.76670637,  48.89279099])"
3336,dhagan,"array([-14.19295386,  57.19667969])"
3337,parags,"array([234.93419998, 164.59450783])"
3338,carbon,"array([-57.73321564,  14.32664555])"
3339,kisielk,"array([-74.33824679,  -1.22425602])"
3340,gotem,"array([-68.79510377,  53.95834673])"
3341,drivers,"array([-49.52911123,  49.26867646])"
3342,rkinder,"array([-30.13823611,   2.20217958])"
3343,Tabernarius,"array([279.32900368, -30.38188724])"
3344,asaddi,"array([-71.75656327,  70.23659325])"
3345,warner,"array([-16.15319752,  52.58494906])"
3346,tpi,"array([-60.35479024,  13.64214036])"
3347,careilly,"array([-17.81064942,  54.60292872])"
3348,bos,"array([-25.75220458,  46.09526381])"
3349,Duderino,"array([-280.26496751,  248.05964777])"
3350,puneet,"array([-25.04337276, -16.75474063])"
3351,nothing,"array([-164.76988957,  299.05209818])"
3352,mawa,"array([17.80944107, 22.23305348])"
3353,r2d2,"array([-47.4484668 ,  -3.85249719])"
3354,ovo,"array([ 3.38716559, 13.51286559])"
3355,h4,"array([-0.92567125, 10.91221129])"
3356,brianbarber,"array([-142.61113607,  405.38744207])"
3357,bhanu29004,"array([ 207.6550728 , -263.60271993])"
3358,Asparagirl,"array([-44.55722685,  62.06623388])"
3359,svaksha,"array([318.39194749, -35.58614082])"
3360,Gilbou,"array([-63.0912804 ,  24.58831873])"
3361,nagappan,"array([307.44797504, 137.94304346])"
3362,andym,"array([247.53034023, -84.87555668])"
3363,serlim,"array([-69.30936289,   3.88588599])"
3364,forgotPassword,"array([-87.87521758, -11.27967457])"
